"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1950","1950","EUR","Euro","0","Units",,,0.239203,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1951","1951","EUR","Euro","0","Units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1952","1952","EUR","Euro","0","Units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1953","1953","EUR","Euro","0","Units",,,0.238301,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1954","1954","EUR","Euro","0","Units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1955","1955","EUR","Euro","0","Units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1956","1956","EUR","Euro","0","Units",,,0.234094,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1957","1957","EUR","Euro","0","Units",,,0.248228,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1958","1958","EUR","Euro","0","Units",,,0.25242,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1959","1959","EUR","Euro","0","Units",,,0.306514,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1960","1960","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1961","1961","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1962","1962","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1963","1963","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1964","1964","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1965","1965","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1966","1966","EUR","Euro","0","Units",,,0.360607,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1967","1967","EUR","Euro","0","Units",,,0.370624,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1968","1968","EUR","Euro","0","Units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1969","1969","EUR","Euro","0","Units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1970","1970","EUR","Euro","0","Units",,,0.420708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1971","1971","EUR","Euro","0","Units",,,0.417515,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1972","1972","EUR","Euro","0","Units",,,0.386279,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1973","1973","EUR","Euro","0","Units",,,0.35015,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1974","1974","EUR","Euro","0","Units",,,0.346703,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1975","1975","EUR","Euro","0","Units",,,0.345023,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1976","1976","EUR","Euro","0","Units",,,0.402095,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1977","1977","EUR","Euro","0","Units",,,0.45654,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1978","1978","EUR","Euro","0","Units",,,0.460783,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1979","1979","EUR","Euro","0","Units",,,0.403429,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1980","1980","EUR","Euro","0","Units",,,0.430937,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1981","1981","EUR","Euro","0","Units",,,0.554865,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1982","1982","EUR","Euro","0","Units",,,0.660267,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1983","1983","EUR","Euro","0","Units",,,0.862031,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1984","1984","EUR","Euro","0","Units",,,0.966193,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1985","1985","EUR","Euro","0","Units",,,1.021986,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1986","1986","EUR","Euro","0","Units",,,0.841708,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1987","1987","EUR","Euro","0","Units",,,0.74212,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1988","1988","EUR","Euro","0","Units",,,0.7001,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1989","1989","EUR","Euro","0","Units",,,0.711464,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","EUR","Euro","0","Units",,,0.612635,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","EUR","Euro","0","Units",,,0.624521,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","EUR","Euro","0","Units",,,0.615311,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","EUR","Euro","0","Units",,,0.764851,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","EUR","Euro","0","Units",,,0.805104,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","EUR","Euro","0","Units",,,0.749396,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","EUR","Euro","0","Units",,,0.761251,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","EUR","Euro","0","Units",,,0.879964,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","EUR","Euro","0","Units",,,0.897884,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","EUR","Euro","0","Units",,,0.938283,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","EUR","Euro","0","Units",,,1.082705,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","EUR","Euro","0","Units",,,1.116533,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","EUR","Euro","0","Units",,,1.057559,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","EUR","Euro","0","Units",,,0.884048,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","EUR","Euro","0","Units",,,0.803922,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","EUR","Euro","0","Units",,,0.8038,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","EUR","Euro","0","Units",,,0.796433,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","EUR","Euro","0","Units",,,0.729672,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","EUR","Euro","0","Units",,,0.679923,,
"ESP","Spain","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","EUR","Euro","0","Units",,,0.716958,,
