Process,Ecosystem Service,Rating,Justification
Airport services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Airport services,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Airport services,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Airport services,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Airport services,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alcoholic fermentation and distilling,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Alcoholic fermentation and distilling,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Alcoholic fermentation and distilling,Flood and storm protection,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Alcoholic fermentation and distilling,Genetic materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Alcoholic fermentation and distilling,Ground water,VH,Ecosystem service is critical and irreplaceable in production process 
Alcoholic fermentation and distilling,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Alcoholic fermentation and distilling,Soil quality,M,"Production process does not rely on the ecosystem service per se, but on other production processes (e.g. agriculture)"
Alcoholic fermentation and distilling,Surface water,VH,Ecosystem service is critical and irreplaceable in production process 
Alcoholic fermentation and distilling,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Alcoholic fermentation and distilling,Water quality,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Alumina refining,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Alumina refining,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alumina refining,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Alumina refining,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alumina refining,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Aquaculture,Bio-remediation,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

"
